Designator,Mid X,Mid Y,Rotation,Layer
D1,117.0867,-148.6067,90.0,bottom
D10,412.3617,-148.6067,90.0,bottom
D11,431.4117,-148.6067,90.0,bottom
D12,450.4617,-148.6067,90.0,bottom
D13,469.5117,-148.6067,90.0,bottom
D14,488.5617,-148.6067,90.0,bottom
D15,107.5617,-167.6567,90.0,bottom
D16,126.6117,-167.6567,90.0,bottom
D17,145.6617,-167.6567,90.0,bottom
D18,164.7117,-167.6567,90.0,bottom
D19,183.7617,-167.6567,90.0,bottom
D2,136.1367,-148.6067,90.0,bottom
D20,202.8117,-167.6567,90.0,bottom
D21,221.8617,-167.6567,90.0,bottom
D22,269.4867,-167.6567,90.0,bottom
D23,331.3992,-167.6567,90.0,bottom
D24,369.4992,-167.6567,90.0,bottom
D25,388.5492,-167.6567,90.0,bottom
D26,407.5992,-167.6567,90.0,bottom
D27,426.6492,-167.6567,90.0,bottom
D28,445.6992,-167.6567,90.0,bottom
D29,464.7492,-167.6567,90.0,bottom
D3,155.1867,-148.6067,90.0,bottom
D30,483.7992,-167.6567,90.0,bottom
D31,502.8492,-167.6567,90.0,bottom
D32,112.3242,-186.7067,90.0,bottom
D33,131.3742,-186.7067,90.0,bottom
D34,150.4242,-186.7067,90.0,bottom
D35,169.4742,-186.7067,90.0,bottom
D36,188.5242,-186.7067,90.0,bottom
D37,207.5742,-186.7067,90.0,bottom
D38,226.6242,-186.7067,90.0,bottom
D39,269.4867,-186.7067,90.0,bottom
D4,174.2367,-148.6067,90.0,bottom
D40,331.3992,-186.7067,90.0,bottom
D41,374.2617,-186.7067,90.0,bottom
D42,393.3117,-186.7067,90.0,bottom
D43,412.3617,-186.7067,90.0,bottom
D44,431.4117,-186.7067,90.0,bottom
D45,450.4617,-186.7067,90.0,bottom
D46,469.5117,-186.7067,90.0,bottom
D47,488.5617,-186.7067,90.0,bottom
D48,121.8492,-205.7567,90.0,bottom
D49,140.8992,-205.7567,90.0,bottom
D5,193.2867,-148.6067,90.0,bottom
D50,159.9492,-205.7567,90.0,bottom
D51,178.9992,-205.7567,90.0,bottom
D52,198.0492,-205.7567,90.0,bottom
D53,217.0992,-205.7567,90.0,bottom
D54,236.1492,-205.7567,90.0,bottom
D55,269.4867,-205.7567,90.0,bottom
D56,331.3992,-205.7567,90.0,bottom
D57,364.7367,-205.7567,90.0,bottom
D58,383.7867,-205.7567,90.0,bottom
D59,402.8367,-205.7567,90.0,bottom
D6,212.3367,-148.6067,90.0,bottom
D60,421.8867,-205.7567,90.0,bottom
D61,440.9367,-205.7567,90.0,bottom
D62,459.9867,-205.7567,90.0,bottom
D63,479.0367,-205.7567,90.0,bottom
D64,126.6117,-224.8067,90.0,bottom
D65,145.6617,-224.8067,90.0,bottom
D66,207.5742,-224.8067,90.0,bottom
D67,226.6242,-224.8067,90.0,bottom
D68,245.6742,-224.8067,90.0,bottom
D69,355.2117,-224.8067,90.0,bottom
D7,231.3867,-148.6067,90.0,bottom
D70,374.2617,-224.8067,90.0,bottom
D71,393.3117,-224.8067,90.0,bottom
D72,455.2242,-224.8067,90.0,bottom
D73,474.2742,-224.8067,90.0,bottom
D74,212.3367,-243.8567,90.0,bottom
D75,231.3867,-243.8567,90.0,bottom
D76,250.4367,-243.8567,90.0,bottom
D77,300.443,-243.8567,90.0,bottom
D78,350.4492,-243.8567,90.0,bottom
D79,369.4992,-243.8567,90.0,bottom
D8,374.2617,-148.6067,90.0,bottom
D80,388.5492,-243.8567,90.0,bottom
D9,393.3117,-148.6067,90.0,bottom
PICO,295.375,-157.625,270.0,top
SW1,112.0067,-144.6067,0.0,bottom
SW10,407.2817,-144.6067,0.0,bottom
SW11,426.3317,-144.6067,0.0,bottom
SW12,445.3817,-144.6067,0.0,bottom
SW13,464.4317,-144.6067,0.0,bottom
SW14,483.4817,-144.6067,0.0,bottom
SW15,102.4817,-163.6567,0.0,bottom
SW16,121.5317,-163.6567,0.0,bottom
SW17,140.5817,-163.6567,0.0,bottom
SW18,159.6317,-163.6567,0.0,bottom
SW19,178.6817,-163.6567,0.0,bottom
SW2,131.0567,-144.6067,0.0,bottom
SW20,197.7317,-163.6567,0.0,bottom
SW21,216.7817,-163.6567,0.0,bottom
SW22,264.4067,-163.6567,0.0,bottom
SW23,326.3192,-163.6567,0.0,bottom
SW24,364.4192,-163.6567,0.0,bottom
SW25,383.4692,-163.6567,0.0,bottom
SW26,402.5192,-163.6567,0.0,bottom
SW27,421.5692,-163.6567,0.0,bottom
SW28,440.6192,-163.6567,0.0,bottom
SW29,459.6692,-163.6567,0.0,bottom
SW3,150.1067,-144.6067,0.0,bottom
SW30,478.7192,-163.6567,0.0,bottom
SW31,497.7692,-163.6567,0.0,bottom
SW32,107.2442,-182.7067,0.0,bottom
SW33,126.2942,-182.7067,0.0,bottom
SW34,145.3442,-182.7067,0.0,bottom
SW35,164.3942,-182.7067,0.0,bottom
SW36,183.4442,-182.7067,0.0,bottom
SW37,202.4942,-182.7067,0.0,bottom
SW38,221.5442,-182.7067,0.0,bottom
SW39,264.4067,-182.7067,0.0,bottom
SW4,169.1567,-144.6067,0.0,bottom
SW40,326.3192,-182.7067,0.0,bottom
SW41,369.1817,-182.7067,0.0,bottom
SW42,388.2317,-182.7067,0.0,bottom
SW43,407.2817,-182.7067,0.0,bottom
SW44,426.3317,-182.7067,0.0,bottom
SW45,445.3817,-182.7067,0.0,bottom
SW46,464.4317,-182.7067,0.0,bottom
SW47,483.4817,-182.7067,0.0,bottom
SW48,116.7692,-201.7567,0.0,bottom
SW49,135.8192,-201.7567,0.0,bottom
SW5,188.2067,-144.6067,0.0,bottom
SW50,154.8692,-201.7567,0.0,bottom
SW51,173.9192,-201.7567,0.0,bottom
SW52,192.9692,-201.7567,0.0,bottom
SW53,212.0192,-201.7567,0.0,bottom
SW54,231.0692,-201.7567,0.0,bottom
SW55,264.4067,-201.7567,0.0,bottom
SW56,326.3192,-201.7567,0.0,bottom
SW57,359.6567,-201.7567,0.0,bottom
SW58,378.7067,-201.7567,0.0,bottom
SW59,397.7567,-201.7567,0.0,bottom
SW6,207.2567,-144.6067,0.0,bottom
SW60,416.8067,-201.7567,0.0,bottom
SW61,435.8567,-201.7567,0.0,bottom
SW62,454.9067,-201.7567,0.0,bottom
SW63,473.9567,-201.7567,0.0,bottom
SW64,121.5317,-220.8067,0.0,bottom
SW65,140.5817,-220.8067,0.0,bottom
SW66,202.4942,-220.8067,0.0,bottom
SW67,221.5442,-220.8067,0.0,bottom
SW68,240.5942,-220.8067,0.0,bottom
SW69,350.1317,-220.8067,0.0,bottom
SW7,226.3067,-144.6067,0.0,bottom
SW70,369.1817,-220.8067,0.0,bottom
SW71,388.2317,-220.8067,0.0,bottom
SW72,450.1442,-220.8067,0.0,bottom
SW73,469.1942,-220.8067,0.0,bottom
SW74,207.2567,-239.8567,0.0,bottom
SW75,226.3067,-239.8567,0.0,bottom
SW76,245.3567,-239.8567,0.0,bottom
SW77,295.363,-239.8567,0.0,bottom
SW78,345.3692,-239.8567,0.0,bottom
SW79,364.4192,-239.8567,0.0,bottom
SW8,369.1817,-144.6067,0.0,bottom
SW80,383.4692,-239.8567,0.0,bottom
SW9,388.2317,-144.6067,0.0,bottom
